"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"1491",NA,NA,"no",93,2016-04-14 12:52:08,NA,NA,NA,NA,NA,7237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-11,NA,NA,NA,"jh_1388",NA,2022-11-18 10:53:26,NA,NA,2016-04-29,"https://youtu.be/ataxj0jqzd0"
"1492",NA,NA,"no",93,2015-08-06 13:32:23,NA,NA,NA,NA,NA,4843,"in pakur district of maheshpur block,(jharkhand) on the northern bank of the river there were many villagers of total 3 panchayats who had to travel through the boat to reach the other side of that river. especially 150 students and farmers were facing more problems due to no bridge they had to travel 10 km instead to 2 km daily through the boat. at times incidences of drowning also had happened in the past. government was not paying any attention to the issue. community correspondent emiliya hansda once visited that village and she came to know about the issue. she made a video about it and screened it to the panchayat and to government officials. as a result officials visited the place and issued orders to make a bridge on the river. formation of a new bridge was started after 6 months of making an issue video.  - by sandhya marwada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-15,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_1080_impact",NA,NA,TRUE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,15000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-08,NA,NA,NA,"jh_1080",NA,2016-10-12 16:09:04,NA,18,2015-09-19,"https://youtu.be/eqrf58bbzbi"
"1493",NA,NA,"no",93,2015-08-06 16:54:16,NA,NA,NA,NA,NA,4848,"there is a provision in pradhanmantri gram sadak yojana to connect every village to the main road with good roads but in pakur district of maheshpur block from hathimara mission school to kilyapokar navoday vidyalaya( nearly 1 to 2 km distance) road was transformed into a mud and due to that nearly 200 students were facing many problems. during the monsoon the condition of that road used to get worse. villagers of neighbor village were also facing problems in travelling through this road. emilya hansda, the community correspondent was also one of them. she documented this issue and showed it to the villagers and to the legislator of that area. a new road was started constructing in 10 months of making an issue video. - by sandhya marwada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-20,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"jila parisad ke sdasay sa milnay or bat karnay ke liya bola gaya.","yes",NA,NA,NA,NA,NA,NA,"jh_1084_impact",2018-05-11,"https://youtu.be/kybzhgq6xbu",TRUE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,1200,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-10,"district parisad",NA,NA,"jh_1084",NA,2018-05-02 11:27:02,NA,12,2015-09-19,"https://youtu.be/81k6nw4qtqc"
"1494",NA,NA,"no",94,2016-04-14 12:01:48,NA,NA,NA,NA,NA,7236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-11,NA,NA,NA,"jh_1387",NA,2022-11-18 10:53:26,NA,NA,2016-08-05,"https://youtu.be/8oxgvf9tirg"
"1495",NA,NA,"no",94,2015-08-07 04:56:56,NA,NA,NA,NA,NA,4851,"according to the pradhan mantri gram sadak yojana (pmgsy) every village must be connected with the other areas through good roads but near kakjol pakudia mission road (jharkhand) and bridge condition was very bad since last five years. village school was near the bridge so students were facing many problems in passing that road. during elections, politicians assured villagers to repair the road and the bridge but nothing happened. community correspondent elijabeth murmu read about the issue in a newspaper and she made video about it. she screened it to the village head and discussed about the issue to the villagers. after 3 months of making a video construction of new road and bridge was started in the village.  - by sandhya marwada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-18,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_1086_impact",NA,NA,TRUE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,1000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-08,NA,NA,NA,"jh_1086",NA,2016-10-12 16:02:16,NA,10,2015-12-08,"https://youtu.be/qcc-rbubqrw"
"1496",NA,NA,"yes",82,2017-03-17 07:36:41,NA,NA,NA,NA,NA,9714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"a","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,"shikha paharin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-14,"bdo-cass block",NA,NA,"jh_1779",NA,2022-11-18 10:53:26,NA,NA,2017-09-12,"https://youtu.be/vmchmqceeug"
"1497",NA,NA,"no",82,2016-03-01 19:16:35,NA,NA,NA,NA,NA,6910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"video bana kar samuday ke beach screening karna or awaden bana kar bivag me dena.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,"shikha paharin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-26,"dhanbad-distt- labor inspector-kameswar prasad",NA,NA,"jh_1344",NA,2022-11-18 10:53:26,NA,NA,2016-04-15,"https://youtu.be/gvgrng0kgva"
"1498",NA,NA,"yes",96,2015-09-14 03:16:24,NA,NA,NA,NA,NA,5237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"by making awaden from samuday, may dena or screening karna.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-24,"prakhand mandu bdo-jay kumar ram mo-8084383406",NA,NA,"jh_1121",NA,2022-11-18 10:53:26,NA,NA,2016-05-09,"https://youtu.be/9xb_9ce2fbw"
"1499",NA,NA,"yes",96,2016-12-08 05:45:59,NA,NA,NA,NA,NA,9076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write the application with community and submit in the block office.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-12-07,"b",NA,NA,"jh_1698",NA,2022-11-18 10:53:26,NA,NA,2017-06-08,"https://youtu.be/l2o0dxfdxkc"
"1500","b.d.o.",NA,"no",73,2016-02-29 12:30:40,NA,"yrs or more",NA,NA,NA,6897,"issue-pundag basti of ormanjhi block of ranchi district is situated at a distance of 27 km from ranchi. the population of pundang village is 500. pradahnmantri gram sarak yojna in us gaon se pundang gaon ko nahi jora gaya hai. the situation of the sarak of the village is very bad. impact process - in feb 2016 a community meeting was held in pundang village with the participation of women and men. aur usme video screening kiye. in the meeting, it was decided that 10-12 gramin blocks will go and bdos will meet. in march 2016, about 11 people were sent to their office from bdo. bdo of ormanjhi block rajnish kumar was told about the road condition of the village. usne sabse pehle pucha ki-gaon me gram sabha huwa ki nahi? the villagers said that there is a village meeting. then people talked about the sarak of their village. villagers kept the demand for road and asked bdo - what should be done to the villagers. unhone assured that - aap log aaye hain toh aaplogon ki baaton ko rahunga me dehyan me, aur jald hi kaam shuru hoga. uske kuch din baad 100 gaz road bana, mukhiya ke fund se. uske baad kaam ruk gaya tha. abhi saarak par miti bharne ka kaam churu huwa hai. now the road of the village will be made up to 14 km. english: pundang village of ormanjhi block, ranchi district situated only 27 kms from states capital was not benefitted under the pradhamnantri gram sadak yojna (prime minister rural road scheme). the development of the village was being affected severally due to bad condition of road. cc filmed a video on this issue and discussed the problem in the village. a community meeting was held by cc in february 2016 where the video was screened. as planned in the community meeting 11 villagers along with cc approached teh bdo in march 2016 with application for road. bdo assured teh villagers that their road will be constructed soon. few days later a 90 meters road was constructed through village heads funds and then the work stopped. as of now the remaining road is being filled with soil and a proper road is being built upto 14 kms.",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","bdo and community members",2017-05-02,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write the application and meeting with bdo and submit the application. community involvement.","yes",NA,"no",NA,NA,"no",NA,"jh_1337_impact",2019-09-26,"https://youtu.be/mwjglawqyho",TRUE,"crumbling infrastructure","crumbling infrastructure",NA,"panchayat",NA,NA,50,500,11,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,2016-02-19,"bdo-ormanjhi",NA,NA,"jh_1337","denial of service delivery or entitlement provision",2022-11-18 10:53:26,NA,11,2016-03-18,"https://youtu.be/jorwe-rrvfy"
"1501",NA,NA,"yes",98,2017-05-24 11:12:28,NA,NA,NA,NA,NA,10062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-24,"bdo-saraikela",NA,NA,"jh_1808",NA,2022-11-18 10:53:26,NA,NA,2017-10-23,"https://youtu.be/8ymoqxxa1ig"
"1502",NA,NA,"no",91,NA,NA,NA,NA,NA,NA,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"health","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-01,NA,NA,NA,"jh_622",NA,2016-11-18 17:16:06,NA,NA,2015-05-20,"https://www.youtube.com/watch?v=ae1bvsgdusm"
"1503",NA,NA,"yes",72,2016-08-27 10:18:37,NA,NA,NA,NA,NA,8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"make video and screen to project manager, ccl parej project","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"mining","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-27,"genral manager-ccl charhi",NA,NA,"jh_1567",NA,2022-11-18 10:53:26,NA,NA,2016-11-10,"https://youtu.be/n-6ykiw_h0s"
"1504",NA,NA,"no",72,NA,NA,NA,NA,NA,NA,395,"the mud road leading to the forest from agaria tola village was completely blocked off by mining overdump (waste). this blockage severly limited agaria's 200 people from accessing thier rights over forest produce. they go collect firewood or fruits, bathe and drink thier cattle, fill potable water for themselves. this problem had been going on for the past 8 years and was created by the mines opearted by tata. cc mohan bhuyan made a video and along with the community approached the rural development officer at tata. the officer said that the road can only be cleared once the mining is over which will take 6 months. the villagers went back and made a blockade and stopped all the company trucks going into the mines. this yielded results and the road was repaired and access to forest has been cleared.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-01,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jh_539_impact",NA,NA,TRUE,"mining","crumbling infrastructure",NA,NA,NA,NA,NA,200,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-08-02,NA,NA,NA,"jh_539",NA,2016-12-19 05:58:04,NA,1,2012-11-01,"https://www.youtube.com/watch?v=qgjfylpdiy8"
"1505",NA,NA,"no",88,2015-10-21 04:30:39,NA,NA,NA,NA,NA,5617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","education",NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-07,"deo - district education officer",NA,NA,"jh_1187",NA,2022-11-18 10:53:26,NA,NA,2015-12-16,"https://youtu.be/xfdr82sbtqu"
"1506",NA,NA,"yes",88,2016-01-20 08:20:18,NA,NA,NA,NA,NA,6546,"issue:- cook kranti devi and sahiyika, who built a kitchen for children in the primary school of rampur panchayat in kamdara block of gumla district, have not received their payment since april 2015. he has to sell jakar in the datuwan market to run his family. impact process:- shanti kumari baraik did the first screening after which the application was written in the name of dec. uske baad badlao ke liye kamdara ke brc accountant anjali madam se meet. someone said that their account number is wrong. aap gumla me jaakar baat kariye. tab shanti baraik the teacher and shikranti devi the doctor gumla went to idbi bank and met the accountant. application was written in the name of the bank. after that money was released in sikranti devi account. english: the cooking staff in the parimary school of bartand vilage of rampur panchayat, kamdara block, gumla district were not receiving thier wages since april 2015. these staff were poor triabsl who had to feed themselves by selling herbal stick sin the market in the absence of wages. cc filmed a video on this issue. later she organized a community screening and wrote down an application in the name of dec. next, she met the brc accountant at kamdara block regarding the issue. the officer said that the account number of the cook was wrong. officer advised to visit the district office and rectify the matter. cc with teh cooking staff and a school teacher visited the idbi bank accountant at gumla office. they submitted an application to correct the account number. a few days later the cooking staff received thier wagse in thier account.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-09-19,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"by making awaden of the community, give the rights of divorce.","yes",NA,NA,NA,NA,NA,NA,"jh_1295_impact",2017-07-25,"https://youtu.be/lvwm8mlbavk",TRUE,"education","education",NA,NA,"guruprasad pednekar",NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-20,"mid day mil accountant - anjali maidam",NA,NA,"jh_1295",NA,2022-11-18 10:53:26,NA,1,2016-04-20,"https://youtu.be/7qiurg2v1i0"
"1507",NA,NA,"no",71,2015-10-29 08:21:44,NA,NA,NA,NA,NA,5676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-14,"beo - churchu block",NA,NA,"jh_1197",NA,2022-11-18 10:53:26,NA,NA,2016-01-10,"https://youtu.be/0tlzhpnkmmw"
"1508",NA,NA,"no",71,2015-08-07 14:41:44,NA,NA,NA,NA,NA,4864,"scholarship was not provided to 150 students from 7th class to 10th class in the secondary school of dumbar village of churchu block, hazaribagh (jharkhand). due to which students of the school and their parents were facing many problems as scholarship was the only source to buy books and pens for students. books were provided by the school till the 8 standards only and after that, they have to manage on their own but their parents did not have an adequate amount of money to buy stationary. community correspondent manju kisku made a video about the issue and screened it to the block education officer. as a result of that student received their scholarship money for the whole year within a month. school also received last 2 years worth of money under scholarship.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-20,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"video bana kar samuday or school may screening karna.","yes",NA,NA,NA,NA,NA,NA,"jh_1287_impact",2016-02-11,"https://youtu.be/y3tfcuox0ri",TRUE,"education","education",NA,NA,NA,NA,NA,150,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-08,"no",NA,NA,"jh_1092",NA,2016-06-12 06:21:37,NA,1,2015-09-20,"https://youtu.be/dtalinwkbiw"
"1509",NA,NA,"no",91,2016-01-18 09:11:47,NA,NA,NA,NA,NA,6537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"video bana kar samuday, school or bivag ke adhikari ke pass screening karna.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-08,"domchac- bdo- narayan thakur",NA,NA,"jh_1293",NA,2022-11-18 10:53:26,NA,NA,2016-02-15,"https://youtu.be/_whtowkp4pc"
"1510",NA,NA,"no",90,2016-01-10 22:02:32,NA,NA,NA,NA,NA,6463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"video bana kar bivag may dikhana or awaden dena.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-03,"domchac- bdo- narayan thakur",NA,NA,"jh_1278",NA,2022-11-18 10:53:26,NA,NA,2016-03-02,"https://youtu.be/pavktajwfxo"
"1511",NA,NA,"yes",91,2016-01-18 08:59:00,NA,NA,NA,NA,NA,6536,"secondary school in purnadi village of domchach block, kodanar district (jharkhand) was lacking basic facilities and infrastructure due to which students and teachers were facing many problems. they did not have the boundary of the building, toilets, and hand pump and because of that workers were not able to cook the mid-day meal in the school. students were forced to drink and use water from the river, due to which they were getting ill. community correspondent vinti vishwakarma documented the issue and showed it to the block development officer (bdo) as a consequence of that a panchayat started constructing a boundary around the school but meanwhile villagers demanded to assimilate a temple and a health center inside the boundary, because of that the construction work stopped again. cc again made another video about the issue and screened it to the villagers. a meeting was arranged between villagers and school teachers in which they discussed the consequences of adding temple and a health center. at the end of the discussion it was decided to build a boundary excluding temple and health center and after 6 months, the boundary was built and a hand pump was repaired in the school.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-03,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_1292_impact",2016-05-02,"https://youtu.be/dixletipdsw",TRUE,"education","education",NA,NA,NA,NA,NA,220,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-10,"kodarma-deo",NA,NA,"jh_1292",NA,2022-11-18 10:53:26,NA,1,2016-02-12,"https://youtu.be/nfqyf3t8itk"
